doi,title,year,cited_by_count,in_refs_bib
10.1088/1741-2552/ab39cd,Brain–computer interfaces and personhood: interdisciplinary deliberations on neural technology,2019,48,
10.1109/eusipco.2015.7362879,Averaging covariance matrices for EEG signal classification based on the CSP: An empirical study,2015,47,
10.2174/1874120701913010127,Brain-Computer Interface for Persons with Motor Disabilities - A Review,2019,47,
10.1016/j.neucom.2022.08.024,Convolutional neural network and riemannian geometry hybrid approach for motor imagery classificatio,2022,45,
10.1007/s11571-016-9417-x,Regularized common spatial patterns with subject-to-subject transfer of EEG signals,2016,45,
10.1109/tnsre.2023.3329174,Differentiating Between Alzheimer’s Disease and Frontotemporal Dementia Based on the Resting-State M,2023,43,
10.3390/brainsci14040335,A Comparative Study on Feature Extraction Techniques for the Discrimination of Frontotemporal Dement,2024,43,
10.3390/electronics9101584,Motor-Imagery Classification Using Riemannian Geometry with Median Absolute Deviation,2020,43,
10.1109/embc44109.2020.9175956,EEG-based Depression Detection Using Convolutional Neural Network with Demographic Attention Mechani,2020,40,
10.1109/tnsre.2022.3211881,Transfer Learning With Optimal Transportation and Frequency Mixup for EEG-Based Motor Imagery Recogn,2022,39,
10.1609/aaai.v29i1.9595,Online Dictionary Learning on Symmetric Positive Definite Manifolds with Vision Applications,2015,39,
10.1109/tnnls.2023.3307470,Graph Neural Networks on SPD Manifolds for Motor Imagery Classification: A Perspective From the Time,2023,39,
10.1007/s13534-018-0082-3,The earth mover’s distance and Bayesian linear discriminant analysis for epileptic seizure detection,2018,38,
10.1109/tbme.2016.2592820,Riemannian Geometry Applied to Detection of Respiratory States From EEG Signals: The Basis for a Bra,2016,38,
10.1109/iww-bci.2019.8737349,Towards Adaptive Classification using Riemannian Geometry approaches in Brain-Computer Interfaces,2019,37,
10.1155/2021/1299870,[Retracted] Predicting the Risk of Depression Based on ECG Using RNN,2021,37,
10.3389/fncom.2024.1431815,Electroencephalogram-based adaptive closed-loop brain-computer interface in neurorehabilitation: a r,2024,37,
10.1007/s11571-024-10152-7,EEG-based classification of Alzheimer’s disease and frontotemporal dementia: a comprehensive analysi,2024,36,
10.1016/j.bspc.2020.102101,Calibrating EEG features in motor imagery classification tasks with a small amount of current data u,2020,36,
10.1016/j.neunet.2009.06.035,A linear feature space for simultaneous learning of spatio-spectral filters in BCI,2009,35,
10.1007/11577812_10,A Riemannian Framework for the Processing of Tensor-Valued Images,2005,34,
10.1109/tnnls.2022.3216811,SPD Manifold Deep Metric Learning for Image Set Classification,2024,33,
10.1088/1741-2552/ab64a0,Dynamic time warping-based transfer learning for improving common spatial patterns in brain–computer,2019,33,
10.1109/tsp.2017.2649483,Fixed Point Algorithms for Estimating Power Means of Positive Definite Matrices,2017,33,
10.1109/tnsre.2022.3217573,Motor Imagery EEG Classification Based on Riemannian Sparse Optimization and Dempster-Shafer Fusion ,2022,32,
10.31083/j.jin2204093,Depression Detection Based on Analysis of EEG Signals in Multi Brain Regions,2023,31,
10.1109/tetci.2023.3332549,Spatio-Temporal EEG Representation Learning on Riemannian Manifold and Euclidean Space,2023,30,
10.1109/jbhi.2024.3404664,HEMAsNet: A Hemisphere Asymmetry Network Inspired by the Brain for Depression Recognition From Elect,2024,29,
10.3389/fnhum.2024.1348154,Analyzing EEG patterns in young adults exposed to different acrophobia levels: a VR study,2024,29,
10.1016/j.patcog.2023.109751,A discriminative SPD feature learning approach on Riemannian manifolds for EEG classification,2023,28,
10.1109/tic-sth.2009.5444491,EEG signal classification based on a Riemannian distance measure,2009,27,
10.1109/tcyb.2023.3320107,Emotion Recognition From Multimodal Physiological Signals via Discriminative Correlation Fusion With,2023,27,
10.1109/tnnls.2024.3350085,Deep Multiview Module Adaption Transfer Network for Subject-Specific EEG Recognition,2024,27,
10.3389/fnins.2021.687053,Differences in Multimodal Electroencephalogram and Clinical Correlations Between Early-Onset Alzheim,2021,27,
10.3390/diagnostics14192189,Classification of Alzheimer’s Disease and Frontotemporal Dementia Using Electroencephalography to Qu,2024,27,
10.1080/2326263x.2016.1254403,Brain-computer interface for the communication of acute patients: a feasibility study and a randomiz,2016,27,
10.1109/icassp.2015.7178193,Approximate infinite-dimensional Region Covariance Descriptors for image classification,2015,27,
10.1088/1741-2552/ad0a01,Riemannian geometric and ensemble learning for decoding cross-session motor imagery electroencephalo,2023,27,
10.1109/tbme.2022.3154885,Functional Connectivity Ensemble Method to Enhance BCI Performance (FUCONE),2022,26,
10.1155/2020/1683013,Instance Transfer Subject-Dependent Strategy for Motor Imagery Signal Classification Using Deep Conv,2020,26,
10.1109/tnsre.2024.3360194,Subject-Independent Deep Architecture for EEG-Based Motor Imagery Classification,2024,26,
10.1142/s0218126619501238,Transfer Learning Based on Regularized Common Spatial Patterns Using Cosine Similarities of Spatial ,2018,26,
10.1109/taffc.2025.3555433,UA-DAAN: An Uncertainty-Aware Dynamic Adversarial Adaptation Network for EEG-Based Depression Recogn,2025,25,
10.1090/proc/12953,Positive definite matrices and the S-divergence,2015,25,
10.1007/978-3-319-59072-1_37,Matrix Neural Networks,2017,25,
10.1109/tcss.2023.3303331,A Novel Intelligence Evaluation Framework: Exploring the Psychophysiological Patterns of Gifted Stud,2023,23,
10.1109/tcyb.2020.3003620,A General Matrix Function Dimensionality Reduction Framework and Extension for Manifold Learning,2020,23,
